"freq
References : ['horn_gain_smooth','(horn_gain_120cm+horn_gain_240cm)*0.5']
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","horn_gain_smooth
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","(horn_gain_120cm+horn_gain_240cm)*0.5
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real"
120.70,21.01714,21.27923
120.75,21.01751,21.28262
120.80,21.01788,21.28375
120.85,21.01825,21.2789
120.90,21.01862,21.27396
120.95,21.01898,21.26942
121.00,21.01935,21.26749
121.05,21.01972,21.27164
121.10,21.02008,21.28212
121.15,21.02045,21.29727
121.20,21.02082,21.30845
121.25,21.02119,21.31137
121.30,21.02156,21.31027
121.35,21.02193,21.3037
121.40,21.0223,21.30014
121.45,21.02267,21.30434
121.50,21.02305,21.31043
121.55,21.02342,21.32017
121.60,21.0238,21.32652
121.65,21.02417,21.32751
121.70,21.02455,21.32451
121.75,21.02493,21.31487
121.80,21.02531,21.30822
121.85,21.0257,21.30583
121.90,21.02608,21.30878
121.95,21.02647,21.31954
122.00,21.02686,21.33168
122.05,21.02724,21.34565
122.10,21.02763,21.35789
122.15,21.02803,21.36268
122.20,21.02842,21.3624
122.25,21.02881,21.35719
122.30,21.02921,21.35203
122.35,21.0296,21.35106
122.40,21.03,21.35429
122.45,21.0304,21.35852
122.50,21.03079,21.36011
122.55,21.03119,21.36076
122.60,21.03159,21.35976
122.65,21.03199,21.35312
122.70,21.03239,21.34587
122.75,21.0328,21.34553
122.80,21.0332,21.35028
122.85,21.0336,21.35829
122.90,21.034,21.3679
122.95,21.0344,21.37616
123.00,21.0348,21.37834
123.05,21.03521,21.37077
123.10,21.03561,21.35827
123.15,21.03602,21.3472
123.20,21.03643,21.33989
123.25,21.03683,21.34016
123.30,21.03724,21.34623
123.35,21.03765,21.353
123.40,21.03806,21.35694
123.45,21.03847,21.35661
123.50,21.03888,21.35604
123.55,21.03929,21.34789
123.60,21.0397,21.33465
123.65,21.04012,21.32191
123.70,21.04053,21.30914
123.75,21.04094,21.3015
123.80,21.04136,21.29784
123.85,21.04177,21.29947
123.90,21.04219,21.30758
123.95,21.0426,21.31225
124.00,21.04302,21.31105
124.05,21.04344,21.30674
124.10,21.04386,21.30207
124.15,21.04428,21.30096
124.20,21.0447,21.30492
124.25,21.04513,21.31107
124.30,21.04555,21.31767
124.35,21.04598,21.32483
124.40,21.0464,21.33096
124.45,21.04683,21.33194
124.50,21.04726,21.32748
124.55,21.04769,21.32127
124.60,21.04812,21.31637
124.65,21.04856,21.31148
124.70,21.04899,21.30915
124.75,21.04943,21.31232
124.80,21.04987,21.32108
124.85,21.05031,21.32863
124.90,21.05075,21.33151
124.95,21.05119,21.32975
125.00,21.05163,21.32249
125.05,21.05208,21.31298
125.10,21.05252,21.30333
125.15,21.05297,21.29638
125.20,21.05342,21.29358
125.25,21.05387,21.29813
125.30,21.05433,21.30934
125.35,21.05478,21.3179
125.40,21.05524,21.32193
125.45,21.05569,21.32113
125.50,21.05615,21.31485
125.55,21.05661,21.30935
125.60,21.05707,21.30773
125.65,21.05753,21.3145
125.70,21.058,21.32619
125.75,21.05846,21.33286
125.80,21.05893,21.33524
125.85,21.05939,21.32905
125.90,21.05986,21.3179
125.95,21.06033,21.30653
126.00,21.0608,21.29425
126.05,21.06127,21.2861
126.10,21.06173,21.27843
126.15,21.0622,21.27295
126.20,21.06267,21.27101
126.25,21.06314,21.26499
126.30,21.06361,21.25953
126.35,21.06408,21.25211
126.40,21.06456,21.24385
126.45,21.06503,21.23948
126.50,21.0655,21.23434
126.55,21.06597,21.23538
126.60,21.06644,21.24079
126.65,21.06691,21.24221
126.70,21.06738,21.24155
126.75,21.06785,21.23474
126.80,21.06832,21.22488
