f_LO,f_LO_in,f_LO_div_16,f_LO_plus_1G_div_16,P_IF-,P_IF+
120,6.666666667,7.5,7.5625,-86.3,-80.9
122.5,6.805555556,7.65625,7.71875,-79,-70.6
125,6.944444444,7.8125,7.875,-70.8,-60.3
127.5,7.083333333,7.96875,8.03125,-63.9,-50.27
130,7.222222222,8.125,8.1875,-70.7,-46.8
132.5,7.361111111,8.28125,8.34375,-74.3,-48.6
135,7.5,8.4375,8.5,-70.7,-48.2
137.5,7.638888889,8.59375,8.65625,-72.6,-48.7
140,7.777777778,8.75,8.8125,-74.2,-51.9
142.5,7.916666667,8.90625,8.96875,-74.6,-58.54
145,8.055555556,9.0625,9.125,-80.5,-68.3
147.5,8.194444444,9.21875,9.28125,-83.4,-74.5
150,8.333333333,9.375,9.4375,-86.3,-82.1
