"Freq [GHz]","dB(PeakGain) []"
110,-2.099017923078
113.75,1.34970971973682
115.625,3.26567307353312
117.5,3.46509511064936
121.25,2.54260427759541
125,3.64829633394494
128.75,6.06994937742478
132.5,6.35817785591207
136.25,6.35122039732822
140,6.97866739485248
143.75,6.55648088857965
147.5,6.23728826246876
151.25,4.95177401958636
155,3.09474181584643
158.75,3.75141637562066
162.5,2.09178190236299
166.25,0.477441689534946
170,2.39646849076469
