"Freq [GHz]","dB(PeakRealizedGain) []"
110,-4.76718749568296
113.75,0.537874450191752
115.625,2.51550626761409
117.5,1.60491459086895
121.25,0.795033259580859
125,2.8358103949665
128.75,5.65820465089618
132.5,5.98123077406077
136.25,6.19405839973863
140,6.95232716696172
143.75,6.20856405937112
147.5,5.93708079197532
151.25,4.3677551654322
155,0.97477606844392
158.75,2.08408152124142
162.5,1.29093659158288
166.25,-2.3463888072124
170,-0.496496005389322
