"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
140,90.0000000000002,-140,-23.2038877922219
140,90.0000000000002,-138,-24.1636332750222
140,90.0000000000002,-136,-24.1426147711413
140,90.0000000000002,-134,-23.539766075527
140,90.0000000000002,-132,-23.0425270905765
140,90.0000000000002,-130,-22.8595811544469
140,90.0000000000002,-128,-22.777434997238
140,90.0000000000002,-126,-22.3864110122717
140,90.0000000000002,-124,-21.4944193874395
140,90.0000000000002,-122,-20.3469858865047
140,90.0000000000002,-120,-19.2988613664638
140,90.0000000000002,-118,-18.5476698997252
140,90.0000000000002,-116,-18.1435014435315
140,90.0000000000002,-114,-18.0532475830401
140,90.0000000000002,-112,-18.1947757512618
140,90.0000000000002,-110,-18.4538190753727
140,90.0000000000002,-108,-18.7085558767575
140,90.0000000000002,-106,-18.870811443162
140,90.0000000000002,-104,-18.9191317236293
140,90.0000000000002,-102,-18.8899219503468
140,90.0000000000002,-100,-18.8368785978696
140,90.0000000000002,-98,-18.799492224548
140,90.0000000000002,-96,-18.7986720128872
140,90.0000000000002,-94,-18.8491455957112
140,90.0000000000002,-92,-18.9719545139276
140,90.0000000000002,-90,-19.1959113171152
140,90.0000000000002,-88,-19.5431528108647
140,90.0000000000002,-86,-19.9942968417924
140,90.0000000000002,-84,-20.4268755615197
140,90.0000000000002,-82,-20.560116403554
140,90.0000000000002,-80,-20.0719472737629
140,90.0000000000002,-78,-18.9435750515452
140,90.0000000000002,-76,-17.5104774753718
140,90.0000000000002,-74,-16.1214743481109
140,90.0000000000002,-72,-14.9638721277883
140,90.0000000000002,-70,-14.0943718283462
140,90.0000000000002,-68,-13.4882672257573
140,90.0000000000002,-66,-13.057651259837
140,90.0000000000002,-64,-12.6609773124396
140,90.0000000000002,-62,-12.1441734289433
140,90.0000000000002,-60,-11.4244780675116
140,90.0000000000002,-58,-10.5424670749616
140,90.0000000000002,-56,-9.61281311790911
140,90.0000000000002,-54,-8.7363403198215
140,90.0000000000002,-52,-7.95661380370657
140,90.0000000000002,-50,-7.26226229374027
140,90.0000000000002,-48,-6.60762844825133
140,90.0000000000002,-46,-5.93847712908578
140,90.0000000000002,-44,-5.21743210292835
140,90.0000000000002,-42,-4.44046788117926
140,90.0000000000002,-40,-3.63544010580605
140,90.0000000000002,-38,-2.84416239320824
140,90.0000000000002,-36,-2.10035403959718
140,90.0000000000002,-34,-1.4153000765629
140,90.0000000000002,-32,-0.775952930615425
140,90.0000000000002,-30,-0.154734540827286
140,90.0000000000002,-28,0.473812874408234
140,90.0000000000002,-26,1.1186833708462
140,90.0000000000002,-24,1.76910127877371
140,90.0000000000002,-22,2.40256788402644
140,90.0000000000002,-20,2.99630696878002
140,90.0000000000002,-18,3.53453369409989
140,90.0000000000002,-16,4.00970329038392
140,90.0000000000002,-14,4.41997696614736
140,90.0000000000002,-12,4.76590314716538
140,90.0000000000002,-10,5.04834339450002
140,90.0000000000002,-8,5.26823318790405
140,90.0000000000002,-6,5.42749476149899
140,90.0000000000002,-4,5.52982646480202
140,90.0000000000002,-2,5.58039508707303
140,90.0000000000002,0,5.58435194763016
140,90.0000000000002,2,5.54497091455756
140,90.0000000000002,4,5.46252124700072
140,90.0000000000002,6,5.33456561902784
140,90.0000000000002,8,5.15754140231053
140,90.0000000000002,10,4.92882446455213
140,90.0000000000002,12,4.64834032901974
140,90.0000000000002,14,4.31909190447944
140,90.0000000000002,16,3.94643478892914
140,90.0000000000002,18,3.53636545921095
140,90.0000000000002,20,3.09343910692198
140,90.0000000000002,22,2.61914001950315
140,90.0000000000002,24,2.11144886720814
140,90.0000000000002,26,1.56589075465946
140,90.0000000000002,28,0.977655995576486
140,90.0000000000002,30,0.343874948616048
140,90.0000000000002,32,-0.334834057119525
140,90.0000000000002,34,-1.0538780615402
140,90.0000000000002,36,-1.80502087354433
140,90.0000000000002,38,-2.57721639606353
140,90.0000000000002,40,-3.35811313006594
140,90.0000000000002,42,-4.13680518553506
140,90.0000000000002,44,-4.90792009025281
140,90.0000000000002,46,-5.6757341492413
140,90.0000000000002,48,-6.45584927660493
140,90.0000000000002,50,-7.27237238842588
140,90.0000000000002,52,-8.15034925567696
140,90.0000000000002,54,-9.10481089420936
140,90.0000000000002,56,-10.1283936505266
140,90.0000000000002,58,-11.1808669218647
140,90.0000000000002,60,-12.1888534446952
140,90.0000000000002,62,-13.0690921955455
140,90.0000000000002,64,-13.775817920327
140,90.0000000000002,66,-14.3367958325211
140,90.0000000000002,68,-14.8386171721686
140,90.0000000000002,70,-15.3779274486881
140,90.0000000000002,72,-16.0241587579989
140,90.0000000000002,74,-16.8085679777437
140,90.0000000000002,76,-17.7275209485741
140,90.0000000000002,78,-18.7469325818212
140,90.0000000000002,80,-19.8008634148923
140,90.0000000000002,82,-20.7824376659172
140,90.0000000000002,84,-21.5371036789204
140,90.0000000000002,86,-21.8923757034806
140,90.0000000000002,88,-21.751449712675
140,90.0000000000002,90,-21.1766107665422
140,90.0000000000002,92,-20.3485616847198
140,90.0000000000002,94,-19.4559477492709
140,90.0000000000002,96,-18.6343982551371
140,90.0000000000002,98,-17.9639927655711
140,90.0000000000002,100,-17.4842471457468
140,90.0000000000002,102,-17.2052485331239
140,90.0000000000002,104,-17.1117643085681
140,90.0000000000002,106,-17.1632932647914
140,90.0000000000002,108,-17.2955563998206
140,90.0000000000002,110,-17.4308683846373
140,90.0000000000002,112,-17.5020402649722
140,90.0000000000002,114,-17.4820670574104
140,90.0000000000002,116,-17.3999181680116
140,90.0000000000002,118,-17.3311576417086
140,90.0000000000002,120,-17.3726921254155
140,90.0000000000002,122,-17.6160756061261
140,90.0000000000002,124,-18.1243729293875
140,90.0000000000002,126,-18.9124323812276
140,90.0000000000002,128,-19.9381246214956
140,90.0000000000002,130,-21.1254896751834
140,90.0000000000002,132,-22.4073024475913
140,90.0000000000002,134,-23.6261688259893
140,90.0000000000002,136,-24.1225776318035
140,90.0000000000002,138,-23.0364080530966
140,90.0000000000002,140,-20.9432379485715
140,90.0000000000002,142,-18.9379097984465
140,90.0000000000002,144,-17.4187244725484
140,90.0000000000002,146,-16.3632777584249
140,90.0000000000002,148,-15.5947399794255
140,90.0000000000002,150,-14.8869772141909
140,90.0000000000002,152,-14.0742481230484
140,90.0000000000002,154,-13.156118820985
140,90.0000000000002,156,-12.2747791241719
140,90.0000000000002,158,-11.5916806712796
140,90.0000000000002,160,-11.1997812390963
140,90.0000000000002,162,-11.0984300712536
140,90.0000000000002,164,-11.1927535412277
140,90.0000000000002,166,-11.3147811712176
140,90.0000000000002,168,-11.2971028774922
140,90.0000000000002,170,-11.0750163039962
140,90.0000000000002,172,-10.7071662766293
140,90.0000000000002,174,-10.2978784328193
140,90.0000000000002,176,-9.93249697300508
140,90.0000000000002,178,-9.66909808723861
140,90.0000000000002,180,-9.54760185698128
