0,P,Q,4
1,P,Q,7
2,P,Q,1
3,P,Q,3
4,N,I,3
5,P,Q,2
6,P,I,0
7,P,Q,9
8,N,I,6
9,P,Q,0
10,P,I,1
11,P,I,5
12,P,Q,8
13,P,Q,6
14,P,I,4
15,N,I,2
16,P,Q,5
17,P,I,9
18,N,I,7
19,P,I,8
