Freq(Hz),S12(DB)
1.345E+11,-12.527843
1.346E+11,-12.508888
1.347E+11,-12.448047
1.348E+11,-12.478527
1.349E+11,-12.556756
1.35E+11,-12.432706
1.351E+11,-12.490035
1.352E+11,-12.516564
1.353E+11,-12.465054
1.354E+11,-12.439369
1.355E+11,-12.459364
1.356E+11,-12.410991
1.357E+11,-12.476494
1.358E+11,-12.494546
1.359E+11,-12.44284
1.36E+11,-12.458605
1.361E+11,-12.459336
1.362E+11,-12.362221
1.363E+11,-12.384157
1.364E+11,-12.447449
1.365E+11,-12.409742
1.366E+11,-12.442438
1.367E+11,-12.395143
1.368E+11,-12.393229
1.369E+11,-12.410067
1.37E+11,-12.363634
1.371E+11,-12.372357
1.372E+11,-12.384728
1.373E+11,-12.351333
1.374E+11,-12.392778
1.375E+11,-12.359416
1.376E+11,-12.360907
1.377E+11,-12.355893
1.378E+11,-12.343941
1.379E+11,-12.351056
1.38E+11,-12.337134
1.381E+11,-12.262107
1.382E+11,-12.343343
1.383E+11,-12.281265
1.384E+11,-12.378097
1.385E+11,-12.389786
1.386E+11,-12.398809
1.387E+11,-12.388004
1.388E+11,-12.355862
1.389E+11,-12.411676
1.39E+11,-12.405659
1.391E+11,-12.37581
1.392E+11,-12.464584
1.393E+11,-12.423189
1.394E+11,-12.435418
1.395E+11,-12.440152
1.396E+11,-12.389621
1.397E+11,-12.415173
1.398E+11,-12.463923
1.399E+11,-12.457058
1.4E+11,-12.424032
1.401E+11,-12.462414
1.402E+11,-12.531722
1.403E+11,-12.509235
1.404E+11,-12.507001
1.405E+11,-12.520493
1.406E+11,-12.523709
1.407E+11,-12.546683
1.408E+11,-12.533895
1.409E+11,-12.422682
1.41E+11,-12.517978
1.411E+11,-12.54417
1.412E+11,-12.436058
1.413E+11,-12.494151
1.414E+11,-12.524074
1.415E+11,-12.467301
1.416E+11,-12.504478
1.417E+11,-12.520332
1.418E+11,-12.498222
1.419E+11,-12.503613
1.42E+11,-12.562654
1.421E+11,-12.484909
1.422E+11,-12.470268
1.423E+11,-12.49553
1.424E+11,-12.482471
1.425E+11,-12.483957
1.426E+11,-12.505622
1.427E+11,-12.498474
1.428E+11,-12.52317
1.429E+11,-12.533231
1.43E+11,-12.504373
1.431E+11,-12.568963
1.432E+11,-12.59896
1.433E+11,-12.597255
1.434E+11,-12.621417
1.435E+11,-12.577171
1.436E+11,-12.593309
1.437E+11,-12.63833
1.438E+11,-12.738366
1.439E+11,-12.787178
1.44E+11,-12.795058
