freq,S12
1.345E+11,-25.327433
1.346E+11,-25.326902
1.347E+11,-25.246239
1.348E+11,-25.340313
1.349E+11,-25.360538
1.35E+11,-25.236624
1.351E+11,-25.289856
1.352E+11,-25.34004
1.353E+11,-25.316895
1.354E+11,-25.279266
1.355E+11,-25.340206
1.356E+11,-25.283325
1.357E+11,-25.276407
1.358E+11,-25.27384
1.359E+11,-25.254061
1.36E+11,-25.261948
1.361E+11,-25.237589
1.362E+11,-25.19128
1.363E+11,-25.211615
1.364E+11,-25.195454
1.365E+11,-25.15291
1.366E+11,-25.185368
1.367E+11,-25.085037
1.368E+11,-25.056795
1.369E+11,-25.054251
1.37E+11,-24.987806
1.371E+11,-24.995243
1.372E+11,-25.008894
1.373E+11,-25.025408
1.374E+11,-24.994419
1.375E+11,-24.967237
1.376E+11,-24.93313
1.377E+11,-24.905134
1.378E+11,-24.965479
1.379E+11,-24.957747
1.38E+11,-24.905762
1.381E+11,-24.850899
1.382E+11,-24.885138
1.383E+11,-24.793596
1.384E+11,-24.872887
1.385E+11,-24.829187
1.386E+11,-24.80582
1.387E+11,-24.751818
1.388E+11,-24.785765
1.389E+11,-24.781446
1.39E+11,-24.775751
1.391E+11,-24.773109
1.392E+11,-24.741768
1.393E+11,-24.719666
1.394E+11,-24.691315
1.395E+11,-24.752588
1.396E+11,-24.663511
1.397E+11,-24.690845
1.398E+11,-24.747992
1.399E+11,-24.690691
1.4E+11,-24.698193
1.401E+11,-24.78381
1.402E+11,-24.837843
1.403E+11,-24.76207
1.404E+11,-24.840822
1.405E+11,-24.857275
1.406E+11,-24.843214
1.407E+11,-24.888807
1.408E+11,-24.913097
1.409E+11,-24.773054
1.41E+11,-24.839006
1.411E+11,-24.878075
1.412E+11,-24.80678
1.413E+11,-24.794874
1.414E+11,-24.832247
1.415E+11,-24.827055
1.416E+11,-24.843752
1.417E+11,-24.839773
1.418E+11,-24.843508
1.419E+11,-24.81175
1.42E+11,-24.843758
1.421E+11,-24.81415
1.422E+11,-24.749327
1.423E+11,-24.765659
1.424E+11,-24.730429
1.425E+11,-24.717146
1.426E+11,-24.725462
1.427E+11,-24.676134
1.428E+11,-24.728107
1.429E+11,-24.694492
1.43E+11,-24.669613
1.431E+11,-24.700851
1.432E+11,-24.787979
1.433E+11,-24.728863
1.434E+11,-24.783094
1.435E+11,-24.781452
1.436E+11,-24.785355
1.437E+11,-24.839891
1.438E+11,-24.89677
1.439E+11,-24.922369
1.44E+11,-24.963284
1.441E+11,-25.029013
1.442E+11,-25.051805
1.443E+11,-25.083963
1.444E+11,-25.102457
1.445E+11,-25.106188
1.446E+11,-25.205786
1.447E+11,-25.201008
1.448E+11,-25.225109
1.449E+11,-25.252022
1.45E+11,-25.321003
1.451E+11,-25.344728
1.452E+11,-25.259588
1.453E+11,-25.437429
1.454E+11,-25.596375
1.455E+11,-25.401957
1.456E+11,-25.541483
1.457E+11,-25.649902
1.458E+11,-25.586229
1.459E+11,-25.55352
1.46E+11,-25.636547
1.461E+11,-25.491249
1.462E+11,-25.48296
1.463E+11,-25.487803
1.464E+11,-25.43288
1.465E+11,-25.441586
1.466E+11,-25.493
1.467E+11,-25.512873
1.468E+11,-25.4646
1.469E+11,-25.410475
1.47E+11,-25.506578
1.471E+11,-25.455463
1.472E+11,-25.49115
1.473E+11,-25.485487
1.474E+11,-25.479267
1.475E+11,-25.467751
1.476E+11,-25.488691
1.477E+11,-25.439199
1.478E+11,-25.486773
1.479E+11,-25.44219
1.48E+11,-25.352016
1.481E+11,-25.416611
1.482E+11,-25.480793
1.483E+11,-25.35017
1.484E+11,-25.389595
1.485E+11,-25.449371
1.486E+11,-25.367254
1.487E+11,-25.321314
1.488E+11,-25.313993
1.489E+11,-25.290657
1.49E+11,-25.239986
1.491E+11,-25.193403
