Freq(Hz),S12(DB)
1.1E+11,-19.206678
1.101E+11,-19.178026
1.102E+11,-19.088638
1.103E+11,-19.097271
1.104E+11,-19.104321
1.105E+11,-19.064753
1.106E+11,-19.044649
1.107E+11,-19.024435
1.108E+11,-19.042448
1.109E+11,-19.035547
1.11E+11,-18.937475
1.111E+11,-18.94533
1.112E+11,-18.921818
1.113E+11,-18.888876
1.114E+11,-18.966528
1.115E+11,-18.885069
1.116E+11,-18.922489
1.117E+11,-18.924187
1.118E+11,-18.925535
1.119E+11,-18.879555
1.12E+11,-18.883762
1.121E+11,-18.84696
1.122E+11,-18.814051
1.123E+11,-18.808617
1.124E+11,-18.757845
1.125E+11,-18.757839
1.126E+11,-18.802118
1.127E+11,-18.724503
1.128E+11,-18.771553
1.129E+11,-18.744102
1.13E+11,-18.734238
1.131E+11,-18.754906
1.132E+11,-18.711351
1.133E+11,-18.717299
1.134E+11,-18.74334
1.135E+11,-18.687214
1.136E+11,-18.779114
1.137E+11,-18.702412
1.138E+11,-18.764339
1.139E+11,-18.801373
1.14E+11,-18.763126
1.141E+11,-18.801527
1.142E+11,-18.849272
1.143E+11,-18.753147
1.144E+11,-18.739981
1.145E+11,-18.814154
1.146E+11,-18.751062
1.147E+11,-18.831129
1.148E+11,-18.802502
1.149E+11,-18.752392
1.15E+11,-18.793943
1.151E+11,-18.825027
1.152E+11,-18.829473
1.153E+11,-18.859266
1.154E+11,-18.823708
1.155E+11,-18.807125
1.156E+11,-18.828873
1.157E+11,-18.811182
1.158E+11,-18.795938
1.159E+11,-18.736773
1.16E+11,-18.761633
1.161E+11,-18.743509
1.162E+11,-18.665306
1.163E+11,-18.728796
1.164E+11,-18.702124
1.165E+11,-18.678606
1.166E+11,-18.719614
1.167E+11,-18.725386
1.168E+11,-18.716175
1.169E+11,-18.750549
1.17E+11,-18.658335
1.171E+11,-18.721853
1.172E+11,-18.681217
1.173E+11,-18.627781
1.174E+11,-18.596371
1.175E+11,-18.589598
1.176E+11,-18.614145
1.177E+11,-18.632053
1.178E+11,-18.621401
1.179E+11,-18.582611
1.18E+11,-18.513935
1.181E+11,-18.583158
1.182E+11,-18.568872
1.183E+11,-18.617689
1.184E+11,-18.636074
1.185E+11,-18.481852
1.186E+11,-18.520319
1.187E+11,-18.513786
1.188E+11,-18.469765
1.189E+11,-18.500542
1.19E+11,-18.491526
1.191E+11,-18.521889
1.192E+11,-18.551516
1.193E+11,-18.503355
1.194E+11,-18.514383
1.195E+11,-18.520128
1.196E+11,-18.457422
1.197E+11,-18.439945
1.198E+11,-18.465914
1.199E+11,-18.413832
1.2E+11,-18.428076
1.201E+11,-18.403107
1.202E+11,-18.412062
1.203E+11,-18.44697
1.204E+11,-18.304754
1.205E+11,-18.386072
1.206E+11,-18.378517
1.207E+11,-18.281595
1.208E+11,-18.340849
1.209E+11,-18.295975
1.21E+11,-18.301016
1.211E+11,-18.309614
1.212E+11,-18.234818
1.213E+11,-18.260958
1.214E+11,-18.206577
1.215E+11,-18.195868
1.216E+11,-18.267885
1.217E+11,-18.181282
1.218E+11,-18.154369
1.219E+11,-18.220266
1.22E+11,-18.123339
1.221E+11,-18.107515
1.222E+11,-18.081923
1.223E+11,-18.108423
1.224E+11,-18.15794
1.225E+11,-18.121628
1.226E+11,-18.17779
1.227E+11,-18.154705
1.228E+11,-18.085197
1.229E+11,-18.116125
1.23E+11,-18.089922
1.231E+11,-18.122316
1.232E+11,-18.089626
1.233E+11,-18.069702
1.234E+11,-18.081772
1.235E+11,-18.112589
1.236E+11,-18.098864
1.237E+11,-18.134344
1.238E+11,-18.076292
1.239E+11,-18.134724
1.24E+11,-18.142323
1.241E+11,-18.205576
1.242E+11,-18.13191
1.243E+11,-18.129776
1.244E+11,-18.159546
1.245E+11,-18.162849
1.246E+11,-18.261974
1.247E+11,-18.21454
1.248E+11,-18.193979
1.249E+11,-18.260357
1.25E+11,-18.213356
1.251E+11,-18.16288
1.252E+11,-18.216072
1.253E+11,-18.128792
1.254E+11,-18.146118
1.255E+11,-18.212612
1.256E+11,-18.157099
1.257E+11,-18.144909
1.258E+11,-18.165249
1.259E+11,-18.182133
1.26E+11,-18.152052
1.261E+11,-18.101477
1.262E+11,-18.155193
1.263E+11,-18.124044
1.264E+11,-18.127369
1.265E+11,-18.074427
1.266E+11,-18.121111
1.267E+11,-18.151644
1.268E+11,-18.135031
1.269E+11,-18.132256
1.27E+11,-18.219122
1.271E+11,-18.122263
1.272E+11,-18.113581
1.273E+11,-18.139177
1.274E+11,-18.079342
1.275E+11,-18.034899
1.276E+11,-18.089231
1.277E+11,-18.027868
1.278E+11,-18.104485
1.279E+11,-18.093212
1.28E+11,-18.105425
1.281E+11,-18.066448
1.282E+11,-18.065554
1.283E+11,-18.04563
1.284E+11,-18.008789
1.285E+11,-18.012564
1.286E+11,-17.982403
1.287E+11,-17.95048
1.288E+11,-17.996431
1.289E+11,-17.989782
1.29E+11,-18.006973
1.291E+11,-18.051128
1.292E+11,-18.033352
1.293E+11,-17.992386
1.294E+11,-17.975077
1.295E+11,-18.003138
1.296E+11,-17.978535
1.297E+11,-18.040018
1.298E+11,-18.066469
1.299E+11,-18.052206
1.3E+11,-18.084948
1.301E+11,-18.14082
1.302E+11,-18.123743
1.303E+11,-18.115238
1.304E+11,-18.080168
1.305E+11,-18.112656
1.306E+11,-18.077848
1.307E+11,-18.050941
1.308E+11,-18.129333
1.309E+11,-18.112284
1.31E+11,-18.106546
1.311E+11,-18.095655
1.312E+11,-18.133316
1.313E+11,-18.115398
1.314E+11,-18.110666
1.315E+11,-18.170385
1.316E+11,-18.212587
1.317E+11,-18.163429
1.318E+11,-18.171013
1.319E+11,-18.179899
1.32E+11,-18.220379
1.321E+11,-18.199175
1.322E+11,-18.159698
1.323E+11,-18.234217
1.324E+11,-18.204914
1.325E+11,-18.159847
1.326E+11,-18.138212
1.327E+11,-18.199207
1.328E+11,-18.222757
1.329E+11,-18.143612
1.33E+11,-18.18178
1.331E+11,-18.166372
1.332E+11,-18.162577
1.333E+11,-18.254559
1.334E+11,-18.290609
1.335E+11,-18.310289
1.336E+11,-18.225388
1.337E+11,-18.20702
1.338E+11,-18.192896
1.339E+11,-18.161646
1.34E+11,-18.20533
1.341E+11,-18.18829
1.342E+11,-18.190348
1.343E+11,-18.283363
1.344E+11,-18.244499
1.345E+11,-18.286215
1.346E+11,-18.253445
1.347E+11,-18.20204
1.348E+11,-18.258307
1.349E+11,-18.245283
1.35E+11,-18.169807
1.351E+11,-18.231848
1.352E+11,-18.208622
1.353E+11,-18.207981
1.354E+11,-18.22896
1.355E+11,-18.208403
1.356E+11,-18.188604
1.357E+11,-18.186359
1.358E+11,-18.221413
1.359E+11,-18.207693
1.36E+11,-18.183779
1.361E+11,-18.210699
1.362E+11,-18.13183
1.363E+11,-18.156212
1.364E+11,-18.212132
1.365E+11,-18.117987
1.366E+11,-18.167465
1.367E+11,-18.095366
1.368E+11,-18.047617
1.369E+11,-18.049768
1.37E+11,-18.074202
1.371E+11,-18.041451
1.372E+11,-18.05714
1.373E+11,-18.061802
1.374E+11,-18.030994
1.375E+11,-18.021961
1.376E+11,-17.982151
1.377E+11,-17.965021
1.378E+11,-18.013847
1.379E+11,-17.969915
1.38E+11,-17.981234
1.381E+11,-17.924534
1.382E+11,-17.953915
1.383E+11,-17.926565
1.384E+11,-17.96258
1.385E+11,-17.906559
1.386E+11,-17.952156
1.387E+11,-17.854406
1.388E+11,-17.87063
1.389E+11,-17.916048
1.39E+11,-17.86264
1.391E+11,-17.869736
1.392E+11,-17.90374
