Trace
Swept SA
A.12.13,N9010A
10166000,-40.6622432397843
10168000,-41.634002293542
10170000,-42.9715418746639
10172000,-44.0516822615559
10174000,-45.2243977311561
10176000,-46.8303188960476
10178000,-49.6499890457888
10180000,-53.540411865541
10182000,-57.3230174446668
10184000,-60.0531037278341
10186000,-61.2098944701103
10188000,-62.0042829894187
10190000,-65.0534890415693
10192000,-63.0442430778421
10194000,-63.2164420591291
10196000,-60.7889199289548
10198000,-57.909256853029
10200000,-57.0340933306435
10202000,-58.9419722079653
10204000,-61.2656159078774
10206000,-64.0333379861349
10208000,-63.4345723776374
10210000,-64.7456372063349
10212000,-63.3185833504725
10214000,-62.7243222749361
10216000,-60.2827399689711
10218000,-59.7962288340654
10220000,-61.3921295216462
10222000,-63.9575221121524
10224000,-60.5376189147556
10226000,-61.8294851866473
10228000,-62.1173544164044
10230000,-60.8069309366529
10232000,-64.9909295292744
10234000,-63.1095165211201
10236000,-63.0666285237876
10238000,-61.777822743394
10240000,-62.6652780436516
10242000,-62.9737740507564
10244000,-63.3278009770037
10246000,-63.1104542777914
10248000,-65.0280360801609
10250000,-67.9222979247912
10252000,-65.9812081655818
10254000,-65.3624358960056
10256000,-66.7457689748296
10258000,-64.1243014829162
10260000,-64.0344336465047
10262000,-62.2980581045372
10264000,-63.5885761752062
10266000,-64.6586141278654
10268000,-65.096688858358
10270000,-65.0599557533692
10272000,-64.4847664080184
10274000,-67.4435471147214
10276000,-67.5225338057506
10278000,-65.1930305085893
10280000,-63.7914776357126
10282000,-62.4431993568995
10284000,-64.6034012560467
10286000,-62.9396033757335
10288000,-64.9085884237893
10290000,-63.858039137425
10292000,-63.1970108840913
10294000,-63.5513300945408
10296000,-63.0895065410884
10298000,-62.1695340143662
10300000,-61.7830763722762
10302000,-60.2904326460315
10304000,-61.7302750775078
10306000,-61.3246375114007
10308000,-59.7804136584545
10310000,-60.4174149464959
10312000,-62.8791678085982
10314000,-64.7488891641926
10316000,-62.6205645617506
10318000,-59.8565144410612
10320000,-58.6879743210399
10322000,-58.6328274522703
10324000,-59.0493730880899
10326000,-60.080547212738
10328000,-60.2873746265935
10330000,-61.4869360826596
10332000,-65.2972541173709
10334000,-67.3837563883028
10336000,-69.6581784153358
10338000,-69.5512105985648
10340000,-68.6687209523243
10342000,-67.0423894354245
10344000,-66.8420241466164
10346000,-67.4726434781845
10348000,-67.4248843763137
10350000,-67.5319849838182
10352000,-69.3774610277011
10354000,-68.4892852425318
10356000,-68.6625091733188
10358000,-68.2895112708024
10360000,-66.6608135419315
10362000,-67.9813442322441
10364000,-66.8746005249851
10366000,-66.0122278497563
10368000,-64.7648537584251
10370000,-62.4813399772335
10372000,-62.7303534440636
10374000,-61.7121635286678
10376000,-61.8764573805041
10378000,-65.1459628492573
10380000,-68.0606499078586
10382000,-67.6589844504876
10384000,-68.6729807650799
10386000,-66.5300123292387
10388000,-64.0904136898801
10390000,-61.5334517650062
10392000,-61.5282551527182
10394000,-61.53140592819
10396000,-64.0346752459146
10398000,-65.5120618315373
10400000,-66.8896059421897
10402000,-68.57182759649
10404000,-69.6752234473755
10406000,-67.6351707669171
10408000,-66.0168766976184
10410000,-64.3647783465844
10412000,-64.9389593521239
10414000,-64.6709397710345
10416000,-64.1346283565973
10418000,-65.6194143802391
10420000,-68.5382391228062
10422000,-68.6104663884705
10424000,-69.5164141115783
10426000,-69.681957075751
10428000,-69.6406505822293
10430000,-69.5750892498788
10432000,-67.6535446264103
10434000,-70.7210035735399
10436000,-71.3577436046943
10438000,-70.9301349600342
10440000,-70.8990997298885
10442000,-68.0805799940979
10444000,-67.8560869255207
10446000,-68.9339313977894
10448000,-66.3506993532341
10450000,-68.7832717029516
10452000,-68.6563800624948
10454000,-70.8554440149795
10456000,-70.0496573447111
10458000,-65.4657067265422
10460000,-64.5943384307048
10462000,-63.1371435464494
10464000,-64.3650765057837
10466000,-65.9563807576206
10468000,-66.8559335595483
10470000,-69.3990548279734
10472000,-66.0236496062947
