"freq
References : ['OE_gain_smooth','OE_gain_240cm']
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","OE_gain_smooth
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real","OE_gain_240cm
References : []
Dependency : [freq]
Num. Points : [1201]
Matrix Size : scalar
Type : Real"
120.80,4.09341,4.93823
120.85,4.09905,4.96536
120.90,4.10469,4.99414
120.95,4.11033,5.01997
121.00,4.11596,5.0422
121.05,4.1216,5.05835
121.10,4.12723,5.07236
121.15,4.13287,5.0822
121.20,4.13851,5.08987
121.25,4.14416,5.10392
121.30,4.14982,5.12381
121.35,4.15549,5.15136
121.40,4.16116,5.1777
121.45,4.16685,5.19982
121.50,4.17254,5.22248
121.55,4.17825,5.23962
121.60,4.18398,5.25312
121.65,4.18971,5.26868
121.70,4.19546,5.28558
121.75,4.20123,5.30934
121.80,4.20701,5.33306
121.85,4.21281,5.35475
121.90,4.21863,5.3757
121.95,4.22446,5.3929
122.00,4.23031,5.41156
122.05,4.23617,5.42848
122.10,4.24206,5.44355
122.15,4.24796,5.46314
122.20,4.25388,5.48203
122.25,4.25981,5.50447
122.30,4.26576,5.52832
122.35,4.27173,5.54995
122.40,4.27772,5.57111
122.45,4.28372,5.58992
122.50,4.28974,5.60933
122.55,4.29578,5.62658
122.60,4.30185,5.64285
122.65,4.30794,5.66689
122.70,4.31404,5.68976
122.75,4.32017,5.71072
122.80,4.32632,5.72864
122.85,4.33249,5.74173
122.90,4.33867,5.75613
122.95,4.34488,5.76845
123.00,4.3511,5.78093
123.05,4.35735,5.79795
123.10,4.36361,5.81305
123.15,4.36988,5.83167
123.20,4.37617,5.85085
123.25,4.38247,5.86507
123.30,4.38879,5.87667
123.35,4.39511,5.88316
123.40,4.40145,5.88864
123.45,4.4078,5.89504
123.50,4.41415,5.90095
123.55,4.42051,5.91461
123.60,4.42688,5.92989
123.65,4.43326,5.94545
123.70,4.43964,5.95967
123.75,4.44602,5.9671
123.80,4.45241,5.97328
123.85,4.4588,5.97335
123.90,4.46519,5.96622
123.95,4.47158,5.96703
124.00,4.47798,5.97534
124.05,4.48437,5.99214
124.10,4.49077,6.00717
124.15,4.49716,6.01626
124.20,4.50356,6.02334
124.25,4.50995,6.02453
124.30,4.51634,6.0223
124.35,4.52273,6.01888
124.40,4.52911,6.01707
124.45,4.53549,6.0253
124.50,4.54187,6.037
124.55,4.54824,6.05041
124.60,4.55461,6.06276
124.65,4.56097,6.06909
124.70,4.56733,6.07377
124.75,4.57368,6.07455
124.80,4.58002,6.07199
124.85,4.58636,6.07279
124.90,4.59269,6.0755
124.95,4.59902,6.08412
125.00,4.60534,6.09315
125.05,4.61165,6.09844
125.10,4.61796,6.10355
125.15,4.62426,6.10607
125.20,4.63055,6.10832
125.25,4.63684,6.10841
125.30,4.64312,6.10592
125.35,4.64939,6.11024
125.40,4.65565,6.11481
125.45,4.66191,6.1199
125.50,4.66816,6.12448
125.55,4.6744,6.12358
125.60,4.68063,6.12346
125.65,4.68686,6.12133
125.70,4.69308,6.11905
125.75,4.69929,6.12294
125.80,4.7055,6.12489
125.85,4.7117,6.12925
125.90,4.71789,6.13114
125.95,4.72407,6.12798
126.00,4.73025,6.12467
126.05,4.73642,6.11747
126.10,4.74258,6.10895
126.15,4.74874,6.0999
126.20,4.75489,6.09211
126.25,4.76103,6.09275
126.30,4.76717,6.09316
126.35,4.77329,6.09282
126.40,4.77941,6.08992
126.45,4.78553,6.0796
126.50,4.79163,6.06529
126.55,4.79773,6.04658
126.60,4.80382,6.02919
126.65,4.80991,6.01914
126.70,4.81599,6.01086
126.75,4.82205,6.00923
126.80,4.82811,6.00807
126.85,4.83417,6.00103
126.90,4.84021,5.99046
126.95,4.84625,5.97311
127.00,4.85227,5.95149
127.05,4.85829,5.92764
127.10,4.8643,5.90467
127.15,4.8703,5.89373
127.20,4.87629,5.88788
127.25,4.88228,5.88342
127.30,4.88825,5.87609
127.35,4.89421,5.86354
127.40,4.90016,5.8496
127.45,4.9061,5.82928
127.50,4.91203,5.80357
127.55,4.91796,5.78168
127.60,4.92387,5.76634
127.65,4.92978,5.76141
127.70,4.93567,5.75788
127.75,4.94156,5.75144
127.80,4.94744,5.74327
127.85,4.95331,5.7284
127.90,4.95916,5.70858
127.95,4.965,5.68413
128.00,4.97084,5.65786
128.05,4.97665,5.64147
128.10,4.98246,5.63037
128.15,4.98825,5.62407
128.20,4.99402,5.61673
128.25,4.99978,5.60164
128.30,5.00552,5.58442
128.35,5.01125,5.56245
128.40,5.01695,5.53729
128.45,5.02265,5.51637
128.50,5.02832,5.49801
128.55,5.03398,5.48796
128.60,5.03962,5.47743
128.65,5.04524,5.46393
128.70,5.05084,5.44895
128.75,5.05643,5.42668
128.80,5.062,5.40252
128.85,5.06756,5.37838
128.90,5.07309,5.35896
128.95,5.07861,5.35115
129.00,5.08412,5.33985
129.05,5.0896,5.32851
129.10,5.09508,5.31587
129.15,5.10053,5.2968
129.20,5.10597,5.27631
129.25,5.1114,5.25011
129.30,5.11682,5.22123
129.35,5.12222,5.19949
129.40,5.12761,5.18256
129.45,5.13299,5.17202
129.50,5.13836,5.15961
129.55,5.14373,5.14206
129.60,5.14908,5.1212
129.65,5.15443,5.09278
129.70,5.15978,5.06147
129.75,5.16512,5.03121
129.80,5.17046,5.00422
129.85,5.17579,4.98452
129.90,5.18113,4.96547
129.95,5.18646,4.95258
130.00,5.1918,4.94084
130.05,5.19714,4.92191
130.10,5.20249,4.9001
130.15,5.20784,4.87179
130.20,5.2132,4.83825
130.25,5.21857,4.80659
130.30,5.22395,4.77882
130.35,5.22934,4.76577
130.40,5.23474,4.75645
130.45,5.24015,4.74326
130.50,5.24558,4.7262
130.55,5.25102,4.69978
130.60,5.25647,4.66837
130.65,5.26194,4.6374
130.70,5.26742,4.60979
130.75,5.27291,4.59352
130.80,5.27842,4.58234
130.85,5.28395,4.57637
130.90,5.28949,4.57079
130.95,5.29504,4.56019
131.00,5.30061,4.54795
131.05,5.3062,4.53099
131.10,5.3118,4.5126
131.15,5.31741,4.49599
131.20,5.32304,4.48041
131.25,5.32869,4.47678
131.30,5.33434,4.47694
131.35,5.34001,4.47442
131.40,5.34569,4.46999
131.45,5.35138,4.45947
131.50,5.35708,4.44789
131.55,5.36279,4.43499
131.60,5.36851,4.42063
131.65,5.37424,4.4147
131.70,5.37998,4.41151
131.75,5.38573,4.41226
131.80,5.39148,4.41152
131.85,5.39724,4.40364
131.90,5.40301,4.3954
131.95,5.40878,4.38596
132.00,5.41456,4.37847
132.05,5.42034,4.3766
132.10,5.42613,4.37835
132.15,5.43192,4.3875
132.20,5.43771,4.39318
132.25,5.44351,4.39396
132.30,5.44931,4.39351
132.35,5.45512,4.38886
132.40,5.46092,4.38271
132.45,5.46673,4.37326
132.50,5.47254,4.36507
132.55,5.47835,4.36687
132.60,5.48415,4.36929
132.65,5.48996,4.37453
132.70,5.49577,4.37868
132.75,5.50158,4.37587
132.80,5.50738,4.37057
132.85,5.51318,4.3599
132.90,5.51898,4.34825
132.95,5.52478,4.34317
133.00,5.53057,4.3443
133.05,5.53637,4.35738
133.10,5.54216,4.37024
133.15,5.54795,4.37925
133.20,5.55374,4.38486
133.25,5.55953,4.38398
133.30,5.56531,4.38376
133.35,5.5711,4.3812
133.40,5.57688,4.37804
133.45,5.58266,4.3868
133.50,5.58844,4.39994
133.55,5.59422,4.4184
133.60,5.6,4.43599
133.65,5.60578,4.44781
133.70,5.61157,4.45692
133.75,5.61735,4.45949
133.80,5.62314,4.46092
133.85,5.62893,4.46637
133.90,5.63473,4.47411
133.95,5.64053,4.48911
134.00,5.64634,4.50594
134.05,5.65216,4.52386
134.10,5.65798,4.53983
134.15,5.66381,4.54822
134.20,5.66964,4.55451
134.25,5.67549,4.55902
134.30,5.68135,4.56573
134.35,5.68722,4.58322
134.40,5.6931,4.60178
134.45,5.69899,4.61983
134.50,5.70489,4.63581
134.55,5.71082,4.64973
134.60,5.71675,4.66537
134.65,5.72271,4.67653
134.70,5.72868,4.68702
134.75,5.73467,4.69951
134.80,5.74067,4.70992
134.85,5.7467,4.72759
134.90,5.75275,4.74847
134.95,5.75881,4.77107
135.00,5.7649,4.78962
135.05,5.7736,4.79894
135.10,5.78196,4.80765
135.15,5.79003,4.81479
135.20,5.79801,4.82346
135.25,5.80599,4.84313
135.30,5.81396,4.86658
135.35,5.82193,4.89545
