Scan Address:,600,,,digital = no pin,analog=pin out,grouped = make array out of it,,,,,,,,,,,
Prefix:,,,,,,,,,,,,,,,,,
Channels,4,,,,,,,,,,,,,,,,
Chain Size,608,,,,,,,,,,,,,,,,
Chain Direction,in,,,in = to chip,out = from chip,,,,Decimal,,,,,,,,
,Don't change me:,Don't change me:,,,Don't change me:,Don't change me:,,,Nominal,,,,,,,,
,Register Name,Width,Bits,Wires,Signal Type,Bus-inator,Bus Width,Bus Addr,Value:,Description:,,Scan Order: <- MSB of First Register : LSB of Last Bit ->,,,,,
First,,,,,,,,,,,,,,,,,
418,IB_AMP2_CTRL_Q,6,6,,,,,,29,,,,,,,,
412,IB_VCM_REF_CTRL_Q,6,6,,,,,,25,,,,,,,,
410,IB_CMFB_EN_QE,2,2,,,,,,1,,,,,,,,
407,IDCOC_EN_QE,3,3,,,,,,1,,,,,,,,
406,CMFB_EN_QE,1,1,,,,,,1,,,,,,,,
405,DCOC_SN_QE,1,1,,,,,,0,,,,,,,,
404,DCOC_SP_QE,1,1,,,,,,1,,,,,,,,
372,TX_VOLT_CTRL_QE,32,32,,,,,,2077787391,,,,,,,,
340,TX_VOLT_CTRL_IE,32,32,,,,,,4280359902,,,,,,,,
339,DCOC_SP_IE,1,1,,,,,,0,,,,,,,,
338,DCOC_SN_IE,1,1,,,,,,1,,,,,,,,
337,CMFB_EN_IE,1,1,,,,,,1,,,,,,,,
334,IDCOC_EN_IE,3,3,,,,,,4,,,,,,,,
332,IB_CMFB_EN_IE,2,2,,,,,,1,,,,,,,,
326,IB_PA_S3_CTRL_I,6,6,,,,,,0,,,,,,,,
320,IB_PA_S2_CTRL_I,6,6,,,,,,0,,,,,,,,
314,IB_PA_S1_CTRL_I,6,6,,,,,,0,,,,,,,,
308,IB_VCM_REF_CTRL_I,6,6,,,,,,38,,,,,,,,
302,IB_AMP2_CTRL_I,6,6,,,,,,46,,,,,,,,
296,IB_CMIN_CTRL_I,6,6,,,,,,32,,,,,,,,
289,DCOC_CTRL_Q,7,7,,,,,,48,,,,,,,,
282,DCOC_CTRL_I,7,7,,,,,,64,,,,,,,,
276,IB_CMIN_CTRL_Q,6,6,,,,,,1,,,,,,,,
270,IB_AMP2_CTRL_Q,6,6,,,,,,29,,,,,,,,
264,IB_VCM_REF_CTRL_Q,6,6,,,,,,25,,,,,,,,
262,IB_CMFB_EN_QE,2,2,,,,,,1,,,,,,,,
259,IDCOC_EN_QE,3,3,,,,,,1,,,,,,,,
258,CMFB_EN_QE,1,1,,,,,,1,,,,,,,,
257,DCOC_SN_QE,1,1,,,,,,0,,,,,,,,
256,DCOC_SP_QE,1,1,,,,,,1,,,,,,,,
224,TX_VOLT_CTRL_QE,32,32,,,,,,970491135,,,,,,,,
192,TX_VOLT_CTRL_IE,32,32,,,,,,4280359836,,,,,,,,
191,DCOC_SP_IE,1,1,,,,,,1,,,,,,,,
190,DCOC_SN_IE,1,1,,,,,,0,,,,,,,,
189,CMFB_EN_IE,1,1,,,,,,1,,,,,,,,
186,IDCOC_EN_IE,3,3,,,,,,4,,,,,,,,
184,IB_CMFB_EN_IE,2,2,,,,,,1,,,,,,,,
178,IB_PA_S3_CTRL_I,6,6,,,,,,10,,,,,,,,
172,IB_PA_S2_CTRL_I,6,6,,,,,,10,,,,,,,,
166,IB_PA_S1_CTRL_I,6,6,,,,,,1,,,,,,,,
160,IB_VCM_REF_CTRL_I,6,6,,,,,,38,,,,,,,,
154,IB_AMP2_CTRL_I,6,6,,,,,,46,,,,,,,,
148,IB_CMIN_CTRL_I,6,6,,,,,,32,100000,000001,1,,,,,
141,DCOC_CTRL_Q,7,7,,,,,,64,1000000,0000001,1,,,,,
134,DCOC_CTRL_I,7,7,,,,,,32,0100000,0000010,2,,,,,
128,IB_CMIN_CTRL_Q,6,6,,,,,,1,000001,100000,32,,,,,
122,IB_AMP2_CTRL_Q,6,6,,,,,,29,011101,101110,46,,,,,
116,IB_VCM_REF_CTRL_Q,6,6,,,,,,25,011001,100110,38,,,,,
114,IB_CMFB_EN_QE,2,2,,,,,,1,01,10,2,,,,,
111,IDCOC_EN_QE,3,3,,,,,,1,001,100,4,,,,,
110,CMFB_EN_QE,1,1,,,,,,1,1,1,1,,,,,
109,DCOC_SN_QE,1,1,,,,,,0,0,0,0,,,,,
108,DCOC_SP_QE,1,1,,,,,,0,0,0,0,,,,,
76,TX_VOLT_CTRL_QE,32,32,,,,,,2077787391,#NUM!,#NUM!,#NUM!,,,,,
44,TX_VOLT_CTRL_IE,32,32,,,,,,4280359902,#NUM!,#NUM!,#NUM!,,,,,
43,DCOC_SP_IE,1,1,,,,,,1,1,1,1,,,,,
42,DCOC_SN_IE,1,1,,,,,,0,0,0,0,,,,,
41,CMFB_EN_IE,1,1,,,,,,1,1,1,1,,,,,
38,IDCOC_EN_IE,3,3,,,,,,4,100,001,1,,,,,
36,IB_CMFB_EN_IE,2,2,,,,,,1,01,10,2,,,,,
30,IB_PA_S3_CTRL_I,6,6,,,,,,10,001010,010100,20,,3,000011,110000,48
24,IB_PA_S2_CTRL_I,6,6,,,,,,10,001010,010100,20,,3,000011,110000,48
18,IB_PA_S1_CTRL_I,6,6,,,,,,1,000001,100000,32,,1,000001,100000,32
12,IB_VCM_REF_CTRL_I,6,6,,,,,,38,100110,011001,25,,,,,
6,IB_AMP2_CTRL_I,6,6,,,,,,46,101110,011101,29,,,,,
0,IB_CMIN_CTRL_I,6,6,,,,,,32,100000,000001,1,,,,,
