Trace
Swept SA
A.14.04,N9030A
550 B25 B40 B85 DP2 EP1 FS1 FS2 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.011
Start Frequency,3810000
Stop Frequency,7810000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext2
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,NegPeak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
3810000,-63.3063513950099
3814000,-62.6720119954093
3818000,-62.9357832779205
3822000,-62.8862163496069
3826000,-63.9480037905703
3830000,-64.5664141132012
3834000,-65.7639430917629
3838000,-67.4757601828906
3842000,-65.7191369963399
3846000,-63.424253319458
3850000,-62.8199644310428
3854000,-61.2467240840182
3858000,-60.4535166005488
3862000,-61.4392561723708
3866000,-63.3695151606397
3870000,-64.3706371031948
3874000,-65.8424669560988
3878000,-66.6821915341374
3882000,-64.8895866624532
3886000,-63.2047568828881
3890000,-62.6040057219672
3894000,-61.9943612377471
3898000,-61.2327490891866
3902000,-61.2162376118786
3906000,-61.774737951406
3910000,-63.3172341312117
3914000,-65.7286184851438
3918000,-67.4467077300761
3922000,-65.3243763354798
3926000,-64.6523226946121
3930000,-64.0618950664456
3934000,-62.8075773019178
3938000,-62.1261424497536
3942000,-62.3714215874206
3946000,-63.3091410626275
3950000,-64.427413502419
3954000,-66.1714855988758
3958000,-66.6359530840773
3962000,-65.6750444596441
3966000,-64.205642098157
3970000,-63.5660753718172
3974000,-63.6056062663467
3978000,-62.6372005813395
3982000,-62.6031230379363
3986000,-63.4285383332539
3990000,-63.677949344015
3994000,-64.2968345577444
3998000,-65.3206036076091
4002000,-65.1509460717286
4006000,-65.500055091341
4010000,-64.4021578141036
4014000,-63.496135516639
4018000,-62.591689048048
4022000,-62.6060008800982
4026000,-63.4274455686632
4030000,-64.9471987395286
4034000,-66.5339007897414
4038000,-66.3925107710752
4042000,-64.9455492413461
4046000,-64.5802408924799
4050000,-62.7994747408732
4054000,-62.1986452938001
4058000,-61.4448086523422
4062000,-61.2060539088097
4066000,-62.1804874853196
4070000,-65.0791635871064
4074000,-67.104580597382
4078000,-65.890479354279
4082000,-64.3032526111319
4086000,-64.8235170828274
4090000,-64.6961452295646
4094000,-62.7337782093941
4098000,-62.471344938535
4102000,-63.5786440791166
4106000,-63.9086738597813
4110000,-64.3026898385606
4114000,-66.0663759049777
4118000,-66.3217457955521
4122000,-64.7041985032636
4126000,-65.2682658442267
4130000,-64.3684110710799
4134000,-63.0793884859321
4138000,-63.173698400554
4142000,-62.3932662545581
4146000,-63.4465699007235
4150000,-64.7138268017503
4154000,-67.4100476821121
4158000,-67.8027865004684
4162000,-64.7910222357924
4166000,-63.5580566299276
4170000,-62.4297782606256
4174000,-61.6876154310282
4178000,-62.0792259481254
4182000,-63.6031655694456
4186000,-63.0818005866634
4190000,-63.5235953680745
4194000,-64.8651538821614
4198000,-66.9810702452498
4202000,-64.9905668745526
4206000,-63.9998730711533
4210000,-62.923768638794
4214000,-63.2886695139316
4218000,-62.7189512618121
4222000,-62.4072407386173
4226000,-63.4749554589999
4230000,-64.5370299613165
4234000,-65.1269300474049
4238000,-68.1017513873222
4242000,-66.9901503013564
4246000,-63.9780770538455
4250000,-63.276916867067
4254000,-61.8491491199363
4258000,-61.2486530484302
4262000,-62.2545742972555
4266000,-62.9810086666471
4270000,-62.0356129383902
4274000,-62.7883248181875
4278000,-64.5825607198502
4282000,-62.7918683772206
4286000,-63.0203847512984
4290000,-60.4925347404783
4294000,-58.8170298755863
4298000,-60.1408594453294
4302000,-61.5706971117917
4306000,-62.3717700389544
4310000,-63.9824261939776
4314000,-65.5360538233878
4318000,-65.6899727050029
4322000,-64.8879358053599
4326000,-64.7292167806133
4330000,-64.4325965642761
4334000,-64.3845206459269
4338000,-62.5060408030775
4342000,-62.7658956496695
4346000,-63.3486429884085
4350000,-63.7099131386246
4354000,-64.8395654509616
4358000,-66.3744983516463
4362000,-66.5041820400426
4366000,-65.9485036007754
4370000,-65.1018887831667
4374000,-63.3605252827383
4378000,-61.9263558385857
4382000,-61.0524413302725
4386000,-62.3680497516701
4390000,-64.8652166051715
4394000,-65.9504548007045
4398000,-66.2431957521813
4402000,-66.5082261296601
