Vmix_out (V)_X,Vmix_out (V)_Y
0,0
2.5e-12,-0.0584378937907544
3.75e-12,-0.09198788583026712
5e-12,-0.1234534540499703
6.86001679499785e-12,-0.1537290326974267
8.251461839168221e-12,-0.1589112389407569
9.125730919584111e-12,-0.1551023276485006
9.999999999999999e-12,-0.1478898151648756
1.103078176522849e-11,-0.1375649432677695
1.234233320551514e-11,-0.1216097485088524
1.368218036220987e-11,-0.1006995694269461
1.434109018110494e-11,-0.08854179041068734
1.5e-11,-0.07507825733533037
1.620214964337235e-11,-0.04751877985297654
1.72212930312759e-11,-0.02015281970238664
1.866802049742093e-11,0.03139462069403548
2e-11,0.09632342624949758
2.136509054326711e-11,0.1733374636490839
2.318879528205022e-11,0.2645497302593754
2.409439764102511e-11,0.295765962316285
2.5e-11,0.3139910749249641
2.501250002083333e-11,0.3141619987354936
2.503750006250001e-11,0.3145025279663564
2.508750014583335e-11,0.3151697409091352
2.518750031250004e-11,0.3164053545064066
2.538750064583341e-11,0.3184403481477324
2.573722564077493e-11,0.3208434060771773
2.619533043504167e-11,0.3219871733498009
2.686136458588292e-11,0.3197248710886357
2.720450081038702e-11,0.3169927382887801
2.745617081706714e-11,0.3144655847091312
2.795951083042739e-11,0.307958483248076
2.81763849198275e-11,0.3045968570300817
2.841236766577833e-11,0.3007031593939561
2.859509473727692e-11,0.2975814374437853
2.877837240078973e-11,0.2943369900238548
2.906983709237287e-11,0.2888506890225345
2.950205164975081e-11,0.2801764853533913
3e-11,0.2697412563646709
3.001250002083334e-11,0.2694755793512262
3.003750006250001e-11,0.2689411320792756
3.008750014583335e-11,0.2678671257633983
3.018750031250004e-11,0.2657007497378851
3.038750064583341e-11,0.2613184902003386
3.072011015643751e-11,0.25387790053372
3.116675980209925e-11,0.2436248384034877
3.183686483452076e-11,0.2276299639572249
3.309981067328583e-11,0.1948826996652342
3.42005119329167e-11,0.1629920438515897
3.5e-11,0.1374350897199378
3.640921222779526e-11,0.08546402481201286
3.780776535903707e-11,0.02122994713677312
3.890388267951854e-11,-0.04033631974562028
4e-11,-0.1101609740859365
4.123899903676543e-11,-0.1910645993855263
4.241643894261944e-11,-0.2588555906595164
4.364412561574426e-11,-0.3100740926985264
4.432206280787213e-11,-0.3281458124573859
4.500000000000001e-11,-0.3386844800271192
4.635587438425575e-11,-0.3404135820236305
4.744539430612089e-11,-0.3279571492886068
4.893168451879515e-11,-0.3006220443278063
5e-11,-0.2770455985175344
5.141226618324563e-11,-0.2420457346114221
5.353600232683992e-11,-0.1822266474267743
5.500000000000001e-11,-0.1319417871135142
5.74317036903948e-11,-0.02437208486305802
5.87158518451974e-11,0.05031944825091429
6.000000000000001e-11,0.1365523360072307
6.201846663521699e-11,0.2572266810545508
6.343175284523907e-11,0.312653219486584
6.421587642261953e-11,0.3292187865542849
6.500000000000001e-11,0.3360846178262427
6.652768496567806e-11,0.3304118913706793
6.791522265185032e-11,0.3095590659973602
6.895761132592516e-11,0.2876953467353131
7e-11,0.2632693024079334
7.161434332043177e-11,0.2228206435783743
7.342114804914936e-11,0.170359970193128
7.5e-11,0.1137346362940734
7.659283906118729e-11,0.04204016620371701
7.843237301518825e-11,-0.06488408942692554
8e-11,-0.169908762450629
8.208403007416066e-11,-0.2867942454559826
8.356251886859809e-11,-0.3328558021711121
8.428125943429903e-11,-0.3417138217259251
8.499999999999999e-11,-0.3429040847131219
8.643748113140191e-11,-0.3307130055299178
8.755147418537391e-11,-0.3119118402596875
8.888423577773394e-11,-0.2832954811487962
8.999999999999999e-11,-0.2562252130866901
9.130024974894597e-11,-0.221421476000762
9.282291301532062e-11,-0.1755036259007847
9.39114565076603e-11,-0.1379491003959326
9.499999999999998e-11,-0.09507504278979699
9.681930545660973e-11,-0.006093123432073341
9.823956725820571e-11,0.08178725934196597
9.999999999999998e-11,0.1984371811532163
1.016463552862909e-10,0.2866880039500252
1.030766285948737e-10,0.3303253427611286
1.040383142974369e-10,0.3403388387857343
1.05e-10,0.3378139096493172
1.06490451051257e-10,0.3203825903669636
1.075666749936558e-10,0.3004521534309074
1.087833374968279e-10,0.2733065134243801
1.1e-10,0.243100950638739
1.11209143515255e-10,0.2103346497430406
1.123422914024075e-10,0.1763711643838423
1.135182393964e-10,0.1362829368992169
1.142591196982e-10,0.107832784554834
1.15e-10,0.0761089330465101
1.161953237662145e-10,0.01573262067506684
1.176244390778007e-10,-0.0723111242701464
1.188122195389003e-10,-0.1524416688983386
1.2e-10,-0.2270089788646875
1.214993686870963e-10,-0.2993354505225211
1.226299283663152e-10,-0.3316482553646991
1.238347814854669e-10,-0.3427940773001106
1.25e-10,-0.3358327325093249
1.261506860948716e-10,-0.3188442090188685
1.274486284721528e-10,-0.2936929993057372
1.287243142360764e-10,-0.2648236441418066
1.293621571180382e-10,-0.2488822113293795
1.3e-10,-0.2317755804845187
1.312756857639236e-10,-0.1942720693048154
1.323591128081625e-10,-0.1592155414897055
1.338625003062778e-10,-0.1032854862707767
1.35e-10,-0.05276601254978155
1.365159591527085e-10,0.03114918937836959
1.382185504244091e-10,0.1434068180132444
1.391092752122046e-10,0.2013877408471763
1.4e-10,0.251409582019913
1.411810840835366e-10,0.3032029141093439
1.422594161618029e-10,0.3314224288418094
1.43625621131567e-10,0.3404896310677025
1.443128105657835e-10,0.3359851578523677
1.45e-10,0.3272288220661713
1.46374378868433e-10,0.3034944976132469
1.477546854224797e-10,0.2750662859951741
1.488773427112399e-10,0.248131909573622
1.5e-10,0.2174178406224513
1.51474947798746e-10,0.1723852792312542
1.529224833998745e-10,0.1218128825585723
1.539612416999372e-10,0.07954372541326853
1.55e-10,0.02927916151486357
1.566602293281471e-10,-0.07076911507972408
1.58087129670283e-10,-0.1674102256664196
1.6e-10,-0.2776272074380993
