I_DAC_diff (A)_X,I_DAC_diff (A)_Y
0,-0.006503345591210137
2.5e-12,-0.006513659082403089
3.75e-12,-0.006525381539933258
5e-12,-0.00653575414689964
6.860019699785232e-12,-0.006537353180362132
8.251544604914722e-12,-0.006537021444438317
9.12577230245736e-12,-0.006538501243761541
9.999999999999999e-12,-0.006541055998627468
1.10315170198867e-11,-0.006536229470544959
1.23448132073188e-11,-0.006521850455809108
1.368492757679632e-11,-0.006502524122424309
1.434246378839816e-11,-0.006496436290401865
1.5e-11,-0.006491250941422997
1.620088604591055e-11,-0.006482022621688972
1.721630728707152e-11,-0.006471830042990543
1.866786486637142e-11,-0.006457815502131401
2e-11,-0.006451765708875753
2.136361991764083e-11,-0.006470336458821308
2.318805996923708e-11,-0.006498719905599018
2.409402998461854e-11,-0.006509610614792351
2.5e-11,-0.00651552709129528
2.501250002083333e-11,-0.006515839574820467
2.503750006250001e-11,-0.006515871071008528
2.508750014583335e-11,-0.006516050790488639
2.518750031250004e-11,-0.00651624977177217
2.538750064583341e-11,-0.006516869452413408
2.57380422201426e-11,-0.006518036659201878
2.61971806716127e-11,-0.006520385810383476
2.686491190150451e-11,-0.006525058752860831
2.720850002560713e-11,-0.006528083518605983
2.746055022373438e-11,-0.006530176328879331
2.796465061998888e-11,-0.006536081268839804
2.818175552128918e-11,-0.006538094241954789
2.841798689250259e-11,-0.006539652448342108
2.860104547887156e-11,-0.006539969970038275
2.87846558720284e-11,-0.006540544685624761
2.907665067686655e-11,-0.006540175049946429
2.95092405527722e-11,-0.006539046588750323
3e-11,-0.006535806286350881
3.001250002083334e-11,-0.006535847642599079
3.003750006250001e-11,-0.006535650860459076
3.008750014583335e-11,-0.006535242263021988
3.018750031250004e-11,-0.006534467507424738
3.038750064583341e-11,-0.006532745669675009
3.072038714329388e-11,-0.006529838241006121
3.116744124787059e-11,-0.006525966190597399
3.183833333809106e-11,-0.006521380794908573
3.310313258561039e-11,-0.006515528512160361
3.419811907636909e-11,-0.006509817014321477
3.5e-11,-0.006502427523138466
3.639130332205669e-11,-0.006483076855246643
3.778816990126531e-11,-0.006470611434377089
3.889408495063266e-11,-0.006472153249652347
4e-11,-0.006480903068809073
4.123877873631973e-11,-0.006498878607569021
4.240235917138458e-11,-0.006511391919862893
4.363336781421824e-11,-0.006523604404297344
4.431668390710912e-11,-0.006531403842974765
4.500000000000001e-11,-0.006540796847889839
4.636663218578177e-11,-0.006543994572148886
4.745250858329687e-11,-0.006541540586191781
4.892828209952044e-11,-0.00652940933410318
5e-11,-0.006517211971207585
5.138982171805932e-11,-0.006518015351720553
5.352106701052651e-11,-0.006506882994423887
5.500000000000001e-11,-0.006500464824468689
5.740863114904372e-11,-0.006473760278463796
5.870431557452187e-11,-0.006471841466455262
6.000000000000001e-11,-0.006472357871766711
6.141556808135931e-11,-0.006483535740170829
6.285812247991378e-11,-0.006492455303753364
6.39290612399569e-11,-0.006501887655880625
6.500000000000001e-11,-0.006506868110911532
6.655328469321917e-11,-0.006517800427352832
6.818906552475059e-11,-0.006518278657200146
6.90945327623753e-11,-0.006517513629408771
7e-11,-0.006509924346591499
7.175064714885059e-11,-0.006500568066919432
7.337532357442529e-11,-0.006487942425541092
7.5e-11,-0.006479267866771761
7.662038142253669e-11,-0.006466217858358656
7.847673909737243e-11,-0.006469052073628812
8e-11,-0.006479674497337419
8.207389064008743e-11,-0.006496360716572816
8.354445067945198e-11,-0.006497454456690558
8.427222533972599e-11,-0.006499027672983872
8.499999999999999e-11,-0.00649786977861003
8.645554932054798e-11,-0.006505059458723305
8.762032825837891e-11,-0.006505902991419342
8.901109050983021e-11,-0.006503538494539614
8.999999999999999e-11,-0.006494489713775243
9.137434601826229e-11,-0.006487843674143784
9.29683802607014e-11,-0.006479861728402262
9.398419013035068e-11,-0.006477951300130045
9.499999999999998e-11,-0.006470056311355249
9.677679668204416e-11,-0.006462289153013194
9.825972704503681e-11,-0.006464645663505317
9.999999999999998e-11,-0.006482444937250842
1.017954532891559e-10,-0.006502193278966605
1.032101334856664e-10,-0.006513931827392494
1.041050667428332e-10,-0.006518121041039293
1.05e-10,-0.006528718171590464
1.064937208738785e-10,-0.00653690968348202
1.075789294986058e-10,-0.006541165690993647
1.087894647493029e-10,-0.006534332031026558
1.1e-10,-0.00652866081599434
1.112320110176093e-10,-0.006515359872577193
1.124120166347466e-10,-0.006507167196361793
1.136201115344181e-10,-0.006490875594315644
1.14310055767209e-10,-0.006482372481972414
1.15e-10,-0.006469608779433015
1.162235897374385e-10,-0.006463805366829612
1.176648714003279e-10,-0.006468114950928206
1.188324357001639e-10,-0.006482667694411875
1.2e-10,-0.006491395094452445
1.215016690056515e-10,-0.006501183521798086
1.226485300953467e-10,-0.006503924210477875
1.238592509968694e-10,-0.006513757827790208
1.25e-10,-0.006519305143790902
1.261734290960028e-10,-0.006528691844675754
1.274646360040494e-10,-0.006525773078519335
1.287323180020247e-10,-0.006522634938691599
1.3e-10,-0.006516644059628688
1.312790328457326e-10,-0.006513927364662461
1.326004777567328e-10,-0.006502487663774059
1.339373356234583e-10,-0.006490680938132408
1.35e-10,-0.006479939369306192
1.365003517855806e-10,-0.006478386509761323
1.381819645838155e-10,-0.006486346599522887
1.390909822919078e-10,-0.006494767045244664
1.4e-10,-0.006496755084329892
1.412504574045122e-10,-0.006503988521657015
1.423266258968238e-10,-0.006508113623274418
1.437155237786031e-10,-0.006519989934311075
1.45e-10,-0.006522540809307304
1.462822039443524e-10,-0.006522794554730284
1.479566124458255e-10,-0.006510696693268073
1.489783062229128e-10,-0.006507231555734563
1.5e-10,-0.006500107722925088
1.516811058172776e-10,-0.006496415355642442
1.530073098699254e-10,-0.006484931180002702
1.55e-10,-0.00647806772039376
1.567568493048648e-10,-0.006482923939683083
1.586801275832999e-10,-0.00650205765206489
1.6e-10,-0.006508094240848898
1.614814185050902e-10,-0.006517158125626865
1.626671081501602e-10,-0.006521657363694876
1.638335540750801e-10,-0.006531905036853482
1.650000000000001e-10,-0.006534720585460531
1.662034566309509e-10,-0.006530212859433851
1.679022707074307e-10,-0.006512060769031777
1.689511353537154e-10,-0.006505026157926115
1.700000000000001e-10,-0.006495873183309742
1.715149125970226e-10,-0.006488094368876889
1.727413196327393e-10,-0.00647403573058038
1.738706598163697e-10,-0.006465475282700564
1.750000000000001e-10,-0.006460617040142829
1.767556420355467e-10,-0.006481774497848173
1.782354825802624e-10,-0.006498293689491161
1.791177412901312e-10,-0.006508076007213606
1.800000000000001e-10,-0.006511338677896026
1.810668090035145e-10,-0.006515498178685578
1.823075380109016e-10,-0.006519588130457526
1.8384424319537e-10,-0.006529340207835721
1.850000000000001e-10,-0.006528072721302552
1.865045742200149e-10,-0.006528588737866619
1.880957537062961e-10,-0.006520934306940635
1.890478768531481e-10,-0.006521060922233927
1.900000000000001e-10,-0.006516697265306196
1.912469707711688e-10,-0.006505854827219161
1.926854228484095e-10,-0.00648416859387438
1.938427114242048e-10,-0.006474149589025592
1.950000000000001e-10,-0.006468637375284034
1.967270819272428e-10,-0.006486807391484147
1.981543788197095e-10,-0.006498496428777334
1.990771894098548e-10,-0.006507319784823336
2.000000000000001e-10,-0.006511333023964561
2.011104492159594e-10,-0.006520865924973399
2.025321334004352e-10,-0.006528459050495599
2.038414697268834e-10,-0.006535785681040343
2.050000000000001e-10,-0.006532041287078814
2.066457216248539e-10,-0.006520567339461572
2.080753017826621e-10,-0.00650637868974094
2.100000000000001e-10,-0.006491966446773623
2.115861503650751e-10,-0.006478264370531476
2.132482404585242e-10,-0.006469584131100982
2.150000000000001e-10,-0.006470841209470056
2.168085860776465e-10,-0.006486875701112817
2.184042930388233e-10,-0.006497080031763722
2.192021465194117e-10,-0.006502767267992459
2.200000000000001e-10,-0.006503973500896814
2.211220571727066e-10,-0.006514662024844572
2.225445321821301e-10,-0.006523190110950733
2.237922342700223e-10,-0.006530250438983398
2.250000000000002e-10,-0.0065256100908341
2.26669754299781e-10,-0.006512232851824299
2.280207917676327e-10,-0.006499840809402043
2.290103958838164e-10,-0.006496365259553672
2.300000000000002e-10,-0.006487865023927618
2.312272148310144e-10,-0.006482929434518826
2.332041897556006e-10,-0.006470489220859762
2.341020948778004e-10,-0.006474635964831164
2.350000000000002e-10,-0.006479516966974575
2.365067130167783e-10,-0.006495951062766349
2.381383531781867e-10,-0.006505847939411974
2.390691765890934e-10,-0.006512838590165562
2.400000000000002e-10,-0.006516575839101679
2.412708805984686e-10,-0.006523998118311159
2.426675825344286e-10,-0.006527620262580884
2.438858224374766e-10,-0.00653006178834213
2.450000000000001e-10,-0.006522830934498897
2.465012131409239e-10,-0.006517715551595499
2.478767085550147e-10,-0.006508453825042581
2.489383542775073e-10,-0.006504196404972434
2.5e-10,-0.006491282583302761
2.510073483125319e-10,-0.006485030278147064
2.526107021876696e-10,-0.006481716817660432
2.538053510938348e-10,-0.006487618158284659
2.550000000000001e-10,-0.006500974180401832
2.565804952818526e-10,-0.006510230839709569
2.581944933795063e-10,-0.006517272594280997
2.590972466897532e-10,-0.006519295869090863
2.600000000000001e-10,-0.006523607730476414
2.614710018067687e-10,-0.006533157833608591
2.627413195225185e-10,-0.006538965130902517
2.638706597612593e-10,-0.006537938787994824
2.650000000000001e-10,-0.006534251147695824
2.664618240527768e-10,-0.006520617568888485
2.68256335779725e-10,-0.006505967561790265
2.691281678898626e-10,-0.006497454780955716
2.7e-10,-0.006488265614220105
2.71743664220275e-10,-0.006479134180929129
2.734000257495613e-10,-0.006484619939925933
2.75e-10,-0.006500362196866172
2.76793732884723e-10,-0.006502439864801825
2.783598494323098e-10,-0.006498391625530012
2.791799247161549e-10,-0.006496759761678577
2.8e-10,-0.00649614202357943
2.814908674753514e-10,-0.006510786802866899
2.826050311787079e-10,-0.006517010369594588
2.839783270441764e-10,-0.006516918307616253
2.85e-10,-0.006511597077025998
2.862962012070303e-10,-0.006503267625744992
2.879350475614728e-10,-0.006495481886216273
2.889675237807364e-10,-0.006490772671935435
2.9e-10,-0.006481978270200072
2.918693607485234e-10,-0.006480585259762723
2.933030001641632e-10,-0.006489529725137621
2.95e-10,-0.006509679366904671
2.965698922356397e-10,-0.006507642180699124
2.98030493599576e-10,-0.006502192739680434
2.99015246799788e-10,-0.006498619134751249
2.999999999999999e-10,-0.006499492407034816
3.007109057034249e-10,-0.006508067782782043
3.016769257786083e-10,-0.006515852207979082
3.0278107552856e-10,-0.006521227858182381
3.0389053776428e-10,-0.006521354205799959
3.049999999999999e-10,-0.006521786998758333
3.064656827400368e-10,-0.00651256098708218
3.082790980172759e-10,-0.006497508245272614
3.091395490086379e-10,-0.006487356776460972
3.099999999999999e-10,-0.006476957851083549
3.11684160899946e-10,-0.00646869911999701
3.134383913581316e-10,-0.00647790713326205
3.149999999999999e-10,-0.006492103053357573
3.169022528458847e-10,-0.006503198345377622
3.182865180828343e-10,-0.006508616375992681
3.191432590414171e-10,-0.006514107085984284
3.199999999999999e-10,-0.006520757629140249
3.212239383953038e-10,-0.006523493484597915
3.223649803029633e-10,-0.006519409528077153
3.236824901514816e-10,-0.006508383337990259
3.249999999999999e-10,-0.006495922467355174
3.264024295761352e-10,-0.006494951546906786
3.281390089060843e-10,-0.006489163403204419
3.290695044530421e-10,-0.006483535144420366
3.299999999999998e-10,-0.006476148630583319
3.315692362298334e-10,-0.006472898535536785
3.332444298478989e-10,-0.006482471494662155
3.341222149239493e-10,-0.006490387806055153
3.349999999999998e-10,-0.006494791733662116
3.363668479182472e-10,-0.006500889517520746
3.374460780190551e-10,-0.00650488568416715
3.386986469353919e-10,-0.00651369539296978
3.399999999999998e-10,-0.006522595899085245
3.412145452682261e-10,-0.006520946573275402
3.425769833670427e-10,-0.006512888309365444
3.437884916835213e-10,-0.006505528744396413
3.449999999999998e-10,-0.006500262719634805
3.462021285856521e-10,-0.006500699745649733
3.475062552149004e-10,-0.006493248742874729
3.488523918227295e-10,-0.006480506063006146
3.499999999999998e-10,-0.006470409058140411
3.515461533130243e-10,-0.006474480370993895
3.53293668859263e-10,-0.00649275755371059
3.541468344296314e-10,-0.006502571801232048
3.549999999999998e-10,-0.006508851480428374
3.562212677607224e-10,-0.006512762262240086
3.57305182228278e-10,-0.006516157611295328
3.587664258934915e-10,-0.006523836558532323
3.599999999999997e-10,-0.006525783357286896
3.612995971926793e-10,-0.006528861939052475
3.62939488705408e-10,-0.006523675597864976
3.639697443527039e-10,-0.006521589260496003
3.649999999999997e-10,-0.00651840629329988
3.666159455640517e-10,-0.006510947036599086
3.679329560476163e-10,-0.006498454379930417
3.68966478023808e-10,-0.006490237262889903
3.699999999999997e-10,-0.006485880194740414
